Data,fb,ins,FB
2021-05-26T00:00:00,221,189,600
2021-05-27T00:00:00,210,203,281
2021-05-28T00:00:00,615,173,475
2021-05-29T00:00:00,726,162,518
2021-05-30T00:00:00,627,151,540
2021-05-31T00:00:00,736,149,386
2021-06-01T00:00:00,559,153,3555
2021-06-02T00:00:00,3304,162,5827
2021-06-03T00:00:00,676,145,3225
2021-06-04T00:00:00,2187,143,4417
2021-06-05T00:00:00,2038,136,2033
2021-06-06T00:00:00,1426,166,1634
2021-06-07T00:00:00,1378,124,3927
2021-06-08T00:00:00,1119,145,4219
2021-06-09T00:00:00,2341,148,7550
2021-06-10T00:00:00,1682,134,5061
2021-06-11T00:00:00,1049,130,6784
2021-06-12T00:00:00,1404,163,4425
2021-06-13T00:00:00,943,33,4259
2021-06-14T00:00:00,449,8,2993
2021-06-15T00:00:00,218,5,3192
2021-06-16T00:00:00,140,4,6315
2021-06-17T00:00:00,84,2,2332
2021-06-18T00:00:00,72,0,6876
2021-06-19T00:00:00,359,131,2542
2021-06-20T00:00:00,178,18,2363
2021-06-21T00:00:00,98,5,3164
2021-06-22T00:00:00,90,1,1331
2021-06-23T00:00:00,64,1,1426
2021-06-24T00:00:00,59,3,689
2021-06-25T00:00:00,212,2,4120
2021-06-26T00:00:00,89,2,1175
2021-06-27T00:00:00,53,2,2954
2021-06-28T00:00:00,67,0,983
2021-06-29T00:00:00,62,0,3466
2021-06-30T00:00:00,60,2,1487
2021-07-01T00:00:00,51,2,621
2021-07-02T00:00:00,65,0,484
2021-07-03T00:00:00,49,2,355
2021-07-04T00:00:00,56,4,1134
2021-07-05T00:00:00,53,3,636
2021-07-06T00:00:00,61,2,288
2021-07-07T00:00:00,56,3,1450
2021-07-08T00:00:00,54,0,327
2021-07-09T00:00:00,41,1,341
2021-07-10T00:00:00,45,2,259
2021-07-11T00:00:00,46,3,156
2021-07-12T00:00:00,64,0,167
2021-07-13T00:00:00,55,4,181
2021-07-14T00:00:00,48,2,154
2021-07-15T00:00:00,52,0,135
2021-07-16T00:00:00,68,4,122
2021-07-17T00:00:00,48,3,99
2021-07-18T00:00:00,46,2,115
2021-07-19T00:00:00,55,1,97
2021-07-20T00:00:00,49,0,135
2021-07-21T00:00:00,66,4,119
2021-07-22T00:00:00,50,4,131
2021-07-23T00:00:00,30,0,115
2021-07-24T00:00:00,40,2,114
2021-07-25T00:00:00,40,2,100
2021-07-26T00:00:00,37,3,120
2021-07-27T00:00:00,45,0,128
2021-07-28T00:00:00,27,3,113
2021-07-29T00:00:00,34,0,134
2021-07-30T00:00:00,28,2,142
2021-07-31T00:00:00,32,0,101
2021-08-01T00:00:00,34,2,101
2021-08-02T00:00:00,37,1,125
2021-08-03T00:00:00,36,0,94
2021-08-04T00:00:00,40,2,84
2021-08-05T00:00:00,56,0,126
2021-08-06T00:00:00,64,1,98
2021-08-07T00:00:00,37,0,105
2021-08-08T00:00:00,41,0,124
2021-08-09T00:00:00,45,2,100
2021-08-10T00:00:00,35,1,113
2021-08-11T00:00:00,30,1,91
2021-08-12T00:00:00,39,0,85
2021-08-13T00:00:00,42,1,104
2021-08-14T00:00:00,32,2,101
2021-08-15T00:00:00,34,2,113
2021-08-16T00:00:00,40,1,109
2021-08-17T00:00:00,29,1,119
2021-08-18T00:00:00,33,0,113
2021-08-19T00:00:00,30,1,150
2021-08-20T00:00:00,23,1,120
2021-08-21T00:00:00,49,0,105
2021-08-22T00:00:00,32,1,88
2021-08-23T00:00:00,31,0,90
2021-08-24T00:00:00,41,0,109
2021-08-25T00:00:00,34,2,91
2021-08-26T00:00:00,40,0,89
2021-08-27T00:00:00,26,2,81
2021-08-28T00:00:00,30,0,110
2021-08-29T00:00:00,36,2,162
2021-08-30T00:00:00,32,2,155
2021-08-31T00:00:00,32,0,90
2021-09-01T00:00:00,38,2,82
2021-09-02T00:00:00,31,0,73
2021-09-03T00:00:00,32,1,80
2021-09-04T00:00:00,41,1,85
2021-09-05T00:00:00,32,1,61
2021-09-06T00:00:00,33,2,61
2021-09-07T00:00:00,63,1,82
2021-09-08T00:00:00,44,2,82
2021-09-09T00:00:00,40,4,56
2021-09-10T00:00:00,34,1,99
2021-09-11T00:00:00,44,1,77
2021-09-12T00:00:00,31,1,92
2021-09-13T00:00:00,346,2,103
2021-09-14T00:00:00,181,5,83
2021-09-15T00:00:00,122,1,74
2021-09-16T00:00:00,70,3,75
2021-09-17T00:00:00,59,0,92
2021-09-18T00:00:00,64,3,84
2021-09-19T00:00:00,76,2,84
2021-09-20T00:00:00,48,1,82
2021-09-21T00:00:00,55,2,89
2021-09-22T00:00:00,34,4,75
2021-09-23T00:00:00,35,4,56
2021-09-24T00:00:00,34,2,63
2021-09-25T00:00:00,42,1,56
2021-09-26T00:00:00,35,1,83
2021-09-27T00:00:00,54,1,75
2021-09-28T00:00:00,35,2,63
2021-09-29T00:00:00,36,2,62
2021-09-30T00:00:00,29,1,65
2021-10-01T00:00:00,35,2,69
2021-10-02T00:00:00,41,1,57
2021-10-03T00:00:00,21,1,63
2021-10-04T00:00:00,26,3,51
2021-10-05T00:00:00,48,1,108
2021-10-06T00:00:00,33,0,62
2021-10-07T00:00:00,23,0,62
2021-10-08T00:00:00,31,0,57
2021-10-09T00:00:00,29,1,54
2021-10-10T00:00:00,34,1,49
2021-10-11T00:00:00,37,1,53
2021-10-12T00:00:00,27,3,56
2021-10-13T00:00:00,30,2,43
2021-10-14T00:00:00,32,2,50
2021-10-15T00:00:00,25,2,46
2021-10-16T00:00:00,20,1,49
2021-10-17T00:00:00,30,0,43
2021-10-18T00:00:00,26,2,35
2021-10-19T00:00:00,30,2,32
2021-10-20T00:00:00,25,2,50
2021-10-21T00:00:00,23,0,39
2021-10-22T00:00:00,28,1,45
2021-10-23T00:00:00,22,0,101
2021-10-24T00:00:00,32,6,116
2021-10-25T00:00:00,13,0,73
2021-10-26T00:00:00,27,1,59
2021-10-27T00:00:00,26,2,55
2021-10-28T00:00:00,40,0,64
2021-10-29T00:00:00,42,1,79
2021-10-30T00:00:00,22,1,49
2021-10-31T00:00:00,23,1,2707
2021-11-01T00:00:00,25,0,1404
2021-11-02T00:00:00,30,1,479
2021-11-03T00:00:00,31,0,295
2021-11-04T00:00:00,30,6,187
2021-11-05T00:00:00,31,5,124
2021-11-06T00:00:00,31,2,78
2021-11-07T00:00:00,25,1,28
2021-11-08T00:00:00,29,3,20
2021-11-09T00:00:00,24,3,30
2021-11-10T00:00:00,26,1,17
2021-11-11T00:00:00,23,0,42
2021-11-12T00:00:00,34,3,58
2021-11-13T00:00:00,26,0,54
2021-11-14T00:00:00,29,0,50
2021-11-15T00:00:00,22,3,58
2021-11-16T00:00:00,27,2,83
2021-11-17T00:00:00,34,2,55
2021-11-18T00:00:00,25,2,66
2021-11-19T00:00:00,41,4,65
2021-11-20T00:00:00,48,0,58
2021-11-21T00:00:00,36,1,71
2021-11-22T00:00:00,21,2,61
2021-11-23T00:00:00,19,1,57
2021-11-24T00:00:00,28,3,60
2021-11-25T00:00:00,30,0,47
2021-11-26T00:00:00,25,2,44
2021-11-27T00:00:00,28,3,51
2021-11-28T00:00:00,27,3,38
2021-11-29T00:00:00,27,7,90
2021-11-30T00:00:00,32,4,61
2021-12-01T00:00:00,24,2,52
2021-12-02T00:00:00,30,2,37
2021-12-03T00:00:00,21,3,47
2021-12-04T00:00:00,23,6,45
2021-12-05T00:00:00,19,2,44
2021-12-06T00:00:00,32,0,56
2021-12-07T00:00:00,26,1,47
2021-12-08T00:00:00,21,1,48
2021-12-09T00:00:00,28,3,50
2021-12-10T00:00:00,14,0,62
2021-12-11T00:00:00,28,0,53
2021-12-12T00:00:00,18,0,49
2021-12-13T00:00:00,38,4,47
2021-12-14T00:00:00,32,1,58
2021-12-15T00:00:00,26,3,48
2021-12-16T00:00:00,22,0,68
2021-12-17T00:00:00,21,5,40
2021-12-18T00:00:00,14,1,51
2021-12-19T00:00:00,33,3,49
2021-12-20T00:00:00,29,1,39
2021-12-21T00:00:00,20,2,33
2021-12-22T00:00:00,27,2,44
2021-12-23T00:00:00,29,1,42
2021-12-24T00:00:00,23,1,34
2021-12-25T00:00:00,22,0,39
2021-12-26T00:00:00,23,2,47
2021-12-27T00:00:00,23,6,44
2021-12-28T00:00:00,30,2,37
2021-12-29T00:00:00,25,4,35
2021-12-30T00:00:00,2,0,38
